,classes,embeddings
0,navigation,"[[0.35080400109291077, -0.07943478226661682, -0.13155560195446014, 0.29099223017692566, 0.09655879437923431, -0.009415199980139732, -0.18548139929771423, -0.13914303481578827, 0.26088064908981323, 0.9432846307754517, -0.20864780247211456, 0.08985260128974915, 0.013256601989269257, 0.01226819772273302, -0.2762625813484192, 0.0884895920753479, -0.35035601258277893, 1.4697800874710083, 0.01370240468531847, -0.1459725946187973, -0.022911999374628067, 0.02280239947140217, 0.23505640029907227, -0.0496094785630703, 0.09697779268026352, 0.1119140014052391, 0.031935397535562515, -0.009211217984557152, -0.08093200623989105, -0.21915920078754425, 0.20056000351905823, -0.19894400238990784, 0.12734639644622803, 0.09060399234294891, -0.2783550024032593, -0.3380914032459259, 0.03206881135702133, 0.1894454061985016, -0.19708427786827087, -0.040547408163547516, -0.34783458709716797, -0.1849898099899292, 0.05279739946126938, -0.2068886011838913, -0.306915819644928, -0.027117198333144188, 0.058630604296922684, -0.06042899936437607, -0.02712460234761238, -0.16846080124378204, -0.3249979615211487, 0.07913299649953842, 0.1349020004272461, -0.02537640370428562, -0.21474620699882507, -0.15170198678970337, -0.008841997012495995, -0.34838801622390747, 0.01824820227921009, -0.36266955733299255, -0.05113295838236809, 0.1311141699552536, -0.252890020608902, 0.07020840048789978, 0.2918581962585449, -0.0755079984664917, -0.35029399394989014, -0.07298161089420319, 0.25461500883102417, 0.31673598289489746, 0.293067991733551, -0.03543579950928688, 0.28950801491737366, -0.05891820043325424, 0.38846340775489807, 0.039345793426036835, 0.20287199318408966, -0.106802798807621, -0.05545920878648758, 0.3530622124671936, -0.007083798758685589, 0.014580996707081795, -0.27590200304985046, 0.05768179893493652, 0.015969181433320045, 0.28435999155044556, 0.21152141690254211, 0.057141996920108795, 0.4599660038948059, -0.012930321507155895, -0.1767580211162567, -0.16768744587898254, 0.1506165862083435, -0.10882999747991562, 0.2247747927904129, 0.14694000780582428, -0.024190200492739677, 0.0907529965043068, 0.2946520149707794, 0.06771999597549438, 0.03411080315709114, -0.32264798879623413, 0.2633488178253174, -0.2560257911682129, -0.08855839818716049, -0.7469640374183655, 0.10105600208044052, 0.2203259915113449, -0.014219595119357109, 0.0379381962120533, -0.08295400440692902, -0.20719417929649353, 0.1179480105638504, -0.07144399732351303, 0.002086058259010315, 0.10355880111455917, 0.0943492203950882, -0.19446159899234772, -0.5711919665336609, -0.0679130032658577, -0.1992557942867279, -0.2386215180158615, 0.13318578898906708, 0.030647600069642067, -0.02872299589216709, -0.11374020576477051, 0.0679015964269638, -0.14330799877643585, 0.2096800059080124, -0.10853619873523712, 0.00746880192309618, 0.08868861198425293, -0.10667979717254639, -0.04413760453462601, 0.06284199655056, -0.152936190366745, -0.10858039557933807, -0.05295399948954582, -0.3114680349826813, -0.19051501154899597, -0.9030200242996216, -0.12111900001764297, -0.2674961984157562, -0.21096079051494598, 0.1625860035419464, -0.23594200611114502, 0.08650220185518265, 0.1203157901763916, -0.2880045771598816, 0.006734800525009632, 0.11264399439096451, -0.05284839868545532, 0.016189998015761375, 0.2563624083995819, -0.030415004119277, 0.1558896005153656, -0.1409970074892044, 0.22334399819374084, 0.15032020211219788, -0.02016480267047882, -0.16955378651618958, -0.35142797231674194, -0.07125099003314972, -0.040613800287246704, 0.18138599395751953, -0.08492623269557953, -0.20425598323345184, 0.2120695561170578, 0.3202066123485565, 0.020704424008727074, 0.023011764511466026, 0.1017720103263855, -0.10209400951862335, 0.06623800098896027, 0.27012601494789124, 0.2611439824104309, 0.130593404173851, 0.10857679694890976, -0.33143800497055054, 0.14073601365089417, 0.026854196563363075, -0.11604560911655426, 0.0007669985061511397, 0.1907850205898285, 0.21511399745941162, -0.07263240218162537, -0.0004961967351846397, -0.1956930011510849, -0.26336997747421265, -0.3226602077484131, -0.08829979598522186, 0.03192230314016342, 0.08322618901729584, 0.15713270008563995, 0.0926607996225357, 0.19587400555610657, 0.09219159930944443, 0.06743799149990082, 0.12282800674438477, 0.3089759945869446, -0.16259238123893738, -0.17133179306983948, -0.13326600193977356, 0.05026287958025932, 0.1263645887374878, 0.020171362906694412, -0.04958561062812805, 0.20749838650226593, -0.01525801420211792, -0.19914820790290833, 0.004592001438140869, -0.4093097150325775, -0.18135559558868408, 0.13112954795360565, -0.29461222887039185, 0.19831275939941406, 0.07878200709819794, -0.06757687032222748, -0.5021339654922485, 0.014969995245337486, 0.26669391989707947, -0.1773945540189743, -0.1539084017276764, 0.249129980802536, 0.09341099113225937, -0.029611796140670776, -0.04178600385785103, -0.115988589823246, 0.05661360174417496, -0.027495000511407852, -0.1638784110546112, 0.0028970041312277317, 0.31645193696022034, 0.09490343183279037, 0.17036959528923035, -0.05073579400777817, 0.04297500103712082, -0.13963310420513153, 0.36216798424720764, -0.04845760017633438, -0.016418594866991043, -0.04609539359807968, 0.13399800658226013, 0.013769000768661499, 0.15699037909507751, -0.39715999364852905, -0.26188841462135315, 0.3706579804420471, -0.2208114117383957, 0.06906600296497345, 0.08309539407491684, -0.3610921800136566, -0.064908966422081, 0.1531398594379425, 0.2552899122238159, 0.19730058312416077, -0.03476400300860405, -0.02301200106739998, -0.18884919583797455, -0.24365802109241486, 0.16098257899284363, -0.007881999015808105, 0.22780978679656982, -0.19825398921966553, 0.2580336034297943, -0.312716007232666, -0.1032559871673584, -0.047912001609802246, 0.669183611869812, 0.06880799680948257, -0.4295169711112976, -0.13186700642108917, 0.31288498640060425, -0.1007457971572876, -0.015191996470093727, -0.0752745047211647, 0.23326699435710907, -0.1799233853816986, 0.06432980298995972, -0.29346001148223877, 0.10250359773635864, -0.014755001291632652, -0.15370720624923706, -0.1159243956208229, 0.09428799897432327, -0.45411601662635803, -0.04579699784517288, 0.11410119384527206, 0.18548238277435303, -0.41609400510787964, -0.11079001426696777, 0.23356859385967255, 0.02117599919438362, 0.05865000560879707, -0.036961741745471954, -0.2797040045261383, 0.01240459643304348, 0.05123801901936531, 0.26463398337364197, 0.18340139091014862]]"
1,data_retieval,"[[0.2968299984931946, 0.016690999269485474, 0.006769400089979172, -0.2982800006866455, -0.08646100014448166, 0.22206999361515045, 0.038352999836206436, -0.044870998710393906, 0.019006000831723213, 2.896199941635132, -0.3500800132751465, -0.5293599963188171, -0.42559999227523804, 0.3454200029373169, 0.09805600345134735, 0.5650100111961365, 0.08431500196456909, 2.0074000358581543, -0.30814000964164734, 0.15128999948501587, 0.4556899964809418, 0.16535000503063202, 0.4907299876213074, 0.20904000103473663, 0.01422599982470274, -0.13607999682426453, 0.2424899935722351, 0.1435600072145462, -0.1988999992609024, -0.04341600090265274, 0.2079399973154068, 0.012242999859154224, 0.13346000015735626, 0.3237699866294861, 0.17951999604701996, -0.26537999510765076, 0.20746999979019165, 0.32872000336647034, 0.05942099913954735, 0.08288600295782089, -0.07583899796009064, -0.17936000227928162, -0.27257001399993896, -0.0030563001055270433, 0.07117100059986115, 0.014303999952971935, -0.2951599955558777, -0.5712699890136719, -0.6168100237846375, 0.048020001500844955, -0.17323000729084015, -0.210889995098114, 0.24449999630451202, 0.13771000504493713, 0.24462999403476715, -0.3511199951171875, 0.24751999974250793, -0.14630000293254852, 0.44165000319480896, 0.7150599956512451, -0.18156999349594116, 0.19005000591278076, -0.2203100025653839, 0.6091600060462952, 0.489439994096756, -0.20162999629974365, 0.2602800130844116, -0.12543000280857086, -0.7132499814033508, 0.5369700193405151, -0.10700000077486038, -0.5885400176048279, 0.22853000462055206, -0.06156399846076965, 0.600600004196167, 0.14609000086784363, 0.36645999550819397, -0.2689700126647949, -0.30792999267578125, -0.10969000309705734, -0.07591000199317932, 0.028981000185012817, 0.3118099868297577, -0.05833600088953972, -0.17597000300884247, 0.47435998916625977, -0.6091399788856506, 0.49814000725746155, -0.05752699822187424, 0.14406999945640564, 0.013869999907910824, 0.258870005607605, -0.5214499831199646, -0.34516000747680664, 0.19527000188827515, 0.1376899927854538, 0.08883100003004074, 0.27434998750686646, 0.12546999752521515, -0.057367000728845596, 0.1605599969625473, 0.0220979992300272, -0.23444999754428864, 0.06754700094461441, 0.015991000458598137, -1.1878999471664429, 0.25481000542640686, 0.4536899924278259, -0.4466499984264374, -0.47145000100135803, -0.1080000028014183, 0.07942800223827362, 0.24685999751091003, -0.34007999300956726, 0.6802399754524231, -0.12862999737262726, -0.3180899918079376, 0.4975300133228302, -0.4366599917411804, -0.07584299892187119, 0.32008999586105347, 0.19843000173568726, -0.10384999960660934, -0.027349000796675682, -0.03133099898695946, -0.14530999958515167, 0.15456999838352203, 0.007423100061714649, -0.018557999283075333, -0.37933000922203064, -0.1929199993610382, 0.4154700040817261, 0.16017000377178192, -0.27469998598098755, 0.5081800222396851, 0.03579699993133545, 0.2521899938583374, -0.11552000045776367, 0.41804999113082886, -0.33204999566078186, -0.3168100118637085, -0.2705700099468231, 0.018129000440239906, -0.04028899967670441, -0.258870005607605, 0.3583900034427643, 0.10812000185251236, 0.020569000393152237, 0.25279000401496887, -0.0604420006275177, -0.004042299930006266, 0.5275499820709229, -0.16818000376224518, 0.5792999863624573, 0.25044000148773193, -0.22999000549316406, 0.1314300000667572, -0.3280700147151947, 0.32030999660491943, 0.0675550028681755, 0.04099300131201744, -0.12515999376773834, -0.4333699941635132, 0.1238899976015091, 0.3675299882888794, -0.4828700125217438, -0.073403000831604, -0.02594899944961071, 0.6771299839019775, 0.3468700051307678, 0.35740000009536743, 0.045173998922109604, -0.20521000027656555, -0.05106699839234352, -0.3129799962043762, -0.26774001121520996, -0.2207999974489212, 0.7286099791526794, 0.07689300179481506, 0.031470999121665955, 0.6532300114631653, 0.08659099787473679, -0.28110000491142273, -0.25398001074790955, -0.5159500241279602, 0.12779000401496887, 0.11891999840736389, -0.07443299889564514, 0.19265000522136688, -0.2470099925994873, 0.2942900061607361, -0.12403000146150589, -0.17636999487876892, -0.12982000410556793, -0.003662100061774254, 0.7742699980735779, 0.04362500086426735, -0.11625999957323074, -0.11554999649524689, 0.328110009431839, 0.2994599938392639, -0.15714000165462494, 0.33265000581741333, 0.0407710000872612, -0.11344999819993973, 0.2169799953699112, -0.13346000015735626, -0.21424999833106995, 0.13120000064373016, -0.5071899890899658, -0.15148000419139862, -0.40573999285697937, 0.378930002450943, -0.11231999844312668, 0.7440500259399414, -0.19282999634742737, -0.02691200003027916, -0.30820000171661377, 0.14612999558448792, 0.02332499995827675, -0.04809999838471413, -0.0037442001048475504, 0.27109000086784363, 0.7062100172042847, 0.23797999322414398, -0.12602999806404114, -0.4789600074291229, 0.5345500111579895, -0.05152000114321709, 0.0006520000169984996, 0.2013300061225891, 0.1381700038909912, -0.6174899935722351, -0.3622399866580963, 0.39862000942230225, 0.011845000088214874, 0.16102999448776245, 0.25473999977111816, 0.3281799852848053, -0.025964999571442604, 0.3806299865245819, 0.07150600105524063, -0.2556000053882599, 0.4942600131034851, 0.15828000009059906, -0.2376900017261505, 0.3147599995136261, -0.14611999690532684, 0.2131900042295456, -0.2806200087070465, -0.052289001643657684, 0.43810999393463135, 0.08502700179815292, 0.1947299987077713, 0.3877899944782257, -0.18682999908924103, 0.21533000469207764, -0.15961000323295593, 0.05928799882531166, -0.3744499981403351, 0.33399999141693115, -0.02970699965953827, 0.4352400004863739, 0.3289499878883362, 0.15643000602722168, -0.33243000507354736, -0.20047999918460846, -0.33553001284599304, -0.3576200008392334, 0.2657400071620941, 0.009951800107955933, -0.06027400121092796, -0.29857999086380005, -0.6336399912834167, -0.3170500099658966, -0.5765600204467773, 0.430649995803833, 0.07890500128269196, 0.14168000221252441, 0.11051999777555466, 0.05522700026631355, -0.18272000551223755, -0.3751800060272217, 0.26614001393318176, -0.5479300022125244, -0.15038999915122986, 0.13718999922275543, 0.13896000385284424, -0.19419999420642853, -0.32010000944137573, -0.4669399857521057, -0.1349799931049347, 0.5689700245857239, 0.39789000153541565, -0.48796001076698303, 0.3421100080013275, -0.11558999866247177, 0.12887999415397644, -0.10486999899148941, 0.4374000132083893]]"
